Program Code,Account Owner,Location Account Number,Account ID (18 char),Combined,Location: Account Name,SAP Account Name 2,Location Address,SAP Customer Group 5 Desc,Approval Status,SAP Sales Office Desc,Approval Date,Active Account,Marketing Solution: Marketing Solutions,Primary Industry,SAP Sales Group Desc
CY24-LOYALTY,Tony Pierce,0000612426,0013700000ASGJFAA5,"LIGGIO'S TIRE AND SERVICE CNTR INC2604 44TH ST, DICKINSON, TX 77539-6694 US",LIGGIO'S TIRE AND SERVICE CNTR INC,EQUIP HERKY,"2604 44TH ST, DICKINSON, TX 77539-6694 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/4/2024, 8:20 PM",No,VPERK$ 2024 Loyalty Program,,CENTRAL
CY24-LOYALTY,David Wessel,0000578244,0013700000ASJpCAAX,"RICHLONN'S INC - DO NOT USES78 W18755 JANESVILLE RD, MUSKEGO, WI 53150 US",RICHLONN'S INC - DO NOT USE,EQUIP HERKY,"S78 W18755 JANESVILLE RD, MUSKEGO, WI 53150 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"12/6/2023, 2:11 PM",No,VPERK$ 2024 Loyalty Program,,CENTRAL
CY24-LOYALTY,Tony Pierce,0000697976,0011S00000hljV0QAI,"GALLOMAR LLC6745 RUFE SNOW DRIVE, WATAUGA, TX 76148 US",GALLOMAR LLC,MIDAS 5139,"6745 RUFE SNOW DRIVE, WATAUGA, TX 76148 US",MIDAS,Approved,IC DIRECT SALES,"1/4/2024, 8:55 PM",Yes,VPERK$ 2024 Loyalty Program,,CENTRAL
CY24-LOYALTY,Zachary Keyes,0000584112,0013700000ASHfwAAH,"MAJOR BRANDS INC287 WILMONT DR, MOUNT STERLING, KY 40353-9503 US",MAJOR BRANDS INC,EQUIP HERKY,"287 WILMONT DR, MOUNT STERLING, KY 40353-9503 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/9/2024, 5:53 PM",No,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Michael Webb,0000337552,0013700000ARzH8AAL,"GREENS FORK ALIGNMENT AND SERVICE1530 BROAD ST, NEW CASTLE, IN 47362 US",GREENS FORK ALIGNMENT AND SERVICE,EQUIP HERKY,"1530 BROAD ST, NEW CASTLE, IN 47362 US",GOODYEAR TSN,Approved,IC DIRECT SALES,"1/4/2024, 3:50 PM",No,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Steve Addleman,0000700339,0011S00000nEBhKQAW,"FLEET FARM WHOLESALE SUPPLY CO LLC400 WEST RIDGEWAY AVE., CEDAR FALLS, IA 50613 US",FLEET FARM WHOLESALE SUPPLY CO LLC,FLEET FARM - CEDAR FALLS,"400 WEST RIDGEWAY AVE., CEDAR FALLS, IA 50613 US",CONTINENTAL GOLD,Approved,IC DIRECT SALES,"12/29/2023, 8:42 AM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Steve Addleman,0000700337,0011S00000nEBfYQAW,"FLEET FARM WHOLESALE SUPPLY CO LLC3815 WEST WASHINGTON ST., WEST BEND, WI 53095 US",FLEET FARM WHOLESALE SUPPLY CO LLC,FLEET FARM - WEST BEND,"3815 WEST WASHINGTON ST., WEST BEND, WI 53095 US",CONTINENTAL GOLD,Approved,IC DIRECT SALES,"12/29/2023, 8:42 AM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Steve Addleman,0000699096,0011S00000kmiCwQAI,"FLEET FARM WHOLESALE SUPPLY CO LLC3165 OLD TOWN HALL RD, EAU CLAIRE, WI 54701 US",FLEET FARM WHOLESALE SUPPLY CO LLC,FLEET FARM - EAU CLAIRE,"3165 OLD TOWN HALL RD, EAU CLAIRE, WI 54701 US",CONTINENTAL GOLD,Approved,IC DIRECT SALES,"12/29/2023, 8:41 AM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Timothy Roettgers,0000426736,0013700000AS8VhAAL,"KERRY BUICK PONTIAC GMC150 NORTHLAND BLVD, CINCINNATI, OH 45246 US",KERRY BUICK PONTIAC GMC,,"150 NORTHLAND BLVD, CINCINNATI, OH 45246 US",KERRY AUTOMOTIVE,Approved,IC DIRECT SALES,"1/8/2024, 12:24 PM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
CY24-LOYALTY,Timothy Roettgers,0000500993,0013700000AS7syAAD,"KERRY FORD155 W KEMPER RD, CINCINNATI, OH 45246 US",KERRY FORD,,"155 W KEMPER RD, CINCINNATI, OH 45246 US",KERRY AUTOMOTIVE,Approved,IC DIRECT SALES,"1/8/2024, 12:14 PM",Yes,VPERK$ 2024 Loyalty Program,,MIDATLANTIC
